               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.042165,            0.033306,           0.0053804,             0.71416,             0.63477,              0.6804,             0.46811,            0.036698,            0.020859,           0.0030918,           0.0096875,           0.0096875,           0.0096875
                  40,            0.042009,            0.033296,           0.0053434,             0.70991,             0.63861,             0.68097,             0.46864,            0.036667,            0.020839,           0.0030846,            0.009671,            0.009671,            0.009671
                  41,            0.042033,            0.033246,           0.0052889,             0.71434,             0.63626,             0.68167,             0.46911,            0.036634,            0.020819,           0.0030768,           0.0096542,           0.0096542,           0.0096542
                  42,            0.042018,            0.033367,           0.0053618,              0.7214,             0.63254,             0.68224,             0.46971,            0.036604,            0.020802,           0.0030712,           0.0096369,           0.0096369,           0.0096369
                  43,            0.041936,            0.033252,           0.0052797,             0.72036,             0.63474,             0.68306,             0.47033,            0.036577,            0.020783,           0.0030638,           0.0096193,           0.0096193,           0.0096193
                  44,            0.041801,            0.033111,           0.0052251,             0.73333,             0.62724,             0.68365,              0.4711,             0.03655,            0.020765,            0.003058,           0.0096013,           0.0096013,           0.0096013
                  45,            0.041806,            0.033197,           0.0052258,             0.73477,              0.6268,             0.68413,             0.47167,            0.036527,             0.02075,            0.003052,           0.0095828,           0.0095828,           0.0095828
                  46,            0.041748,            0.033267,           0.0051718,             0.71735,              0.6386,             0.68453,             0.47213,            0.036503,            0.020736,           0.0030451,            0.009564,            0.009564,            0.009564
                  47,             0.04168,            0.032998,           0.0051883,              0.7187,             0.63871,             0.68501,             0.47276,             0.03648,            0.020723,           0.0030392,           0.0095448,           0.0095448,           0.0095448
                  48,            0.041661,            0.033134,           0.0051791,              0.7321,             0.63034,             0.68552,             0.47316,            0.036457,            0.020711,           0.0030343,           0.0095252,           0.0095252,           0.0095252
                  49,            0.041657,            0.033117,           0.0051938,             0.73551,              0.6287,             0.68615,             0.47388,            0.036433,            0.020699,           0.0030277,           0.0095052,           0.0095052,           0.0095052
                  50,            0.041526,            0.033064,           0.0051096,             0.72294,             0.63779,             0.68653,             0.47447,             0.03641,            0.020688,           0.0030211,           0.0094849,           0.0094849,           0.0094849
                  51,            0.041465,             0.03306,           0.0051473,             0.71569,              0.6435,             0.68679,             0.47494,            0.036389,            0.020679,           0.0030153,           0.0094641,           0.0094641,           0.0094641
                  52,            0.041473,            0.032959,           0.0051175,             0.71513,             0.64472,              0.6874,             0.47539,            0.036368,            0.020672,           0.0030105,            0.009443,            0.009443,            0.009443
                  53,            0.041371,            0.032771,           0.0050993,             0.71893,             0.64257,             0.68778,             0.47596,            0.036342,            0.020663,           0.0030047,           0.0094215,           0.0094215,           0.0094215
                  54,            0.041317,            0.032911,           0.0050964,             0.71107,             0.64855,             0.68829,             0.47668,            0.036317,            0.020652,           0.0029978,           0.0093996,           0.0093996,           0.0093996
                  55,            0.041333,            0.032894,           0.0051091,               0.712,             0.64891,             0.68889,             0.47715,            0.036289,            0.020642,           0.0029911,           0.0093773,           0.0093773,           0.0093773
                  56,             0.04126,            0.032873,           0.0050483,             0.71955,             0.64426,              0.6893,              0.4777,            0.036265,            0.020634,           0.0029845,           0.0093547,           0.0093547,           0.0093547
                  57,            0.041242,            0.032882,            0.005079,             0.72062,             0.64485,             0.69013,             0.47833,             0.03624,            0.020623,           0.0029762,           0.0093317,           0.0093317,           0.0093317
                  58,            0.041175,            0.032962,            0.005033,             0.73136,             0.63891,             0.69078,             0.47907,            0.036213,            0.020612,            0.002968,           0.0093083,           0.0093083,           0.0093083
                  59,              0.0412,            0.032669,           0.0050939,             0.72696,             0.64309,             0.69153,             0.47984,            0.036188,            0.020603,           0.0029598,           0.0092846,           0.0092846,           0.0092846
                  60,             0.04112,            0.032764,           0.0049854,              0.7351,             0.63748,              0.6923,             0.48042,            0.036159,            0.020593,           0.0029521,           0.0092605,           0.0092605,           0.0092605
                  61,            0.041069,            0.032761,           0.0049396,             0.72429,             0.64566,              0.6929,             0.48115,            0.036129,            0.020581,           0.0029428,           0.0092361,           0.0092361,           0.0092361
                  62,            0.040933,            0.032664,           0.0049764,             0.72775,             0.64382,             0.69329,             0.48164,              0.0361,            0.020572,           0.0029346,           0.0092113,           0.0092113,           0.0092113
                  63,             0.04097,            0.032666,           0.0049593,             0.72912,             0.64447,             0.69426,             0.48254,            0.036068,            0.020562,           0.0029265,           0.0091861,           0.0091861,           0.0091861
                  64,            0.040962,            0.032649,           0.0049553,             0.73062,             0.64449,             0.69486,             0.48321,            0.036036,             0.02055,           0.0029169,           0.0091606,           0.0091606,           0.0091606
                  65,            0.040962,            0.032728,           0.0049736,             0.72979,             0.64606,             0.69535,             0.48395,            0.036007,            0.020541,           0.0029087,           0.0091348,           0.0091348,           0.0091348
                  66,             0.04082,            0.032679,           0.0049038,             0.73264,             0.64538,             0.69601,             0.48471,            0.035972,            0.020528,           0.0028995,           0.0091086,           0.0091086,           0.0091086
                  67,             0.04081,            0.032557,           0.0049331,             0.73071,              0.6477,             0.69669,             0.48535,            0.035937,            0.020514,           0.0028905,           0.0090821,           0.0090821,           0.0090821
                  68,            0.040817,            0.032665,           0.0049681,             0.72893,             0.65011,              0.6975,             0.48617,            0.035901,              0.0205,            0.002881,           0.0090552,           0.0090552,           0.0090552
                  69,            0.040723,             0.03255,           0.0048913,             0.73243,             0.64793,             0.69819,             0.48692,            0.035867,            0.020487,           0.0028727,            0.009028,            0.009028,            0.009028
                  70,            0.040823,            0.032688,           0.0048896,             0.74262,              0.6419,             0.69887,              0.4876,            0.035829,             0.02047,            0.002862,           0.0090004,           0.0090004,           0.0090004
                  71,            0.040723,            0.032424,           0.0048855,             0.74033,             0.64459,             0.69983,             0.48849,            0.035792,            0.020456,           0.0028536,           0.0089726,           0.0089726,           0.0089726
                  72,              0.0407,            0.032477,            0.004914,             0.75677,             0.63545,             0.70074,             0.48939,            0.035754,            0.020437,           0.0028426,           0.0089444,           0.0089444,           0.0089444
                  73,            0.040599,            0.032399,           0.0048228,             0.75051,             0.64059,             0.70162,              0.4903,            0.035715,             0.02042,           0.0028308,           0.0089159,           0.0089159,           0.0089159
                  74,            0.040578,            0.032373,           0.0048511,             0.75798,             0.63728,             0.70261,             0.49128,            0.035675,            0.020398,           0.0028202,            0.008887,            0.008887,            0.008887
                  75,            0.040617,            0.032488,           0.0048657,             0.75249,             0.64153,             0.70354,             0.49224,            0.035636,            0.020377,           0.0028088,           0.0088579,           0.0088579,           0.0088579
                  76,            0.040658,            0.032325,           0.0048804,             0.74174,             0.64965,             0.70438,             0.49303,            0.035597,            0.020358,           0.0027983,           0.0088284,           0.0088284,           0.0088284
                  77,            0.040498,            0.032463,            0.004772,             0.74435,             0.64919,              0.7056,             0.49376,             0.03556,            0.020335,           0.0027866,           0.0087987,           0.0087987,           0.0087987
                  78,            0.040399,            0.032374,            0.004765,             0.75617,             0.64241,             0.70642,             0.49466,            0.035519,            0.020314,           0.0027755,           0.0087686,           0.0087686,           0.0087686
                  79,            0.040439,            0.032442,           0.0048224,             0.74081,              0.6538,             0.70719,             0.49551,             0.03548,            0.020292,           0.0027646,           0.0087382,           0.0087382,           0.0087382
                  80,            0.040429,            0.032421,           0.0047758,             0.74908,             0.64937,             0.70823,             0.49636,            0.035441,            0.020268,           0.0027527,           0.0087075,           0.0087075,           0.0087075
                  81,            0.040365,            0.032228,           0.0048049,             0.74935,             0.65055,             0.70938,             0.49732,            0.035401,            0.020242,           0.0027403,           0.0086765,           0.0086765,           0.0086765
                  82,            0.040278,            0.032175,            0.004757,             0.74867,             0.65203,             0.71033,             0.49852,             0.03536,            0.020214,           0.0027281,           0.0086452,           0.0086452,           0.0086452
                  83,            0.040223,            0.032075,           0.0047473,             0.75372,             0.64989,             0.71126,             0.49949,            0.035319,            0.020188,            0.002716,           0.0086137,           0.0086137,           0.0086137
                  84,            0.040319,            0.032335,           0.0047536,             0.75588,             0.64958,             0.71215,              0.5003,             0.03528,            0.020162,           0.0027047,           0.0085818,           0.0085818,           0.0085818
                  85,            0.040184,            0.032162,           0.0047403,             0.74891,              0.6554,             0.71334,             0.50133,            0.035237,            0.020134,           0.0026954,           0.0085497,           0.0085497,           0.0085497
                  86,             0.04026,            0.032183,           0.0046763,              0.7517,             0.65483,             0.71419,             0.50233,            0.035197,            0.020108,           0.0026847,           0.0085173,           0.0085173,           0.0085173
                  87,            0.040093,            0.032184,           0.0047091,             0.75255,              0.6554,             0.71514,              0.5032,            0.035155,            0.020083,           0.0026734,           0.0084846,           0.0084846,           0.0084846
                  88,             0.04013,             0.03216,           0.0046753,             0.75069,             0.65799,             0.71586,             0.50415,            0.035115,            0.020057,           0.0026621,           0.0084516,           0.0084516,           0.0084516
                  89,            0.040017,            0.032145,           0.0046544,              0.7501,              0.6596,             0.71664,             0.50513,            0.035074,             0.02003,           0.0026507,           0.0084184,           0.0084184,           0.0084184
                  90,            0.040106,            0.032113,           0.0046859,             0.75024,             0.66129,             0.71789,             0.50623,            0.035032,            0.020004,            0.002639,           0.0083849,           0.0083849,           0.0083849
                  91,            0.040027,            0.032038,            0.004694,             0.75367,             0.66022,             0.71906,             0.50735,            0.034991,            0.019978,           0.0026267,           0.0083511,           0.0083511,           0.0083511
                  92,            0.040043,            0.032107,            0.004621,             0.75068,             0.66355,             0.72009,             0.50798,            0.034952,            0.019952,           0.0026144,           0.0083171,           0.0083171,           0.0083171
                  93,            0.039928,            0.032047,            0.004622,             0.74559,             0.66817,              0.7212,             0.50889,            0.034912,            0.019926,           0.0026032,           0.0082829,           0.0082829,           0.0082829
                  94,             0.03996,            0.032114,           0.0046099,             0.76911,             0.65321,             0.72182,             0.50994,            0.034873,            0.019901,            0.002594,           0.0082483,           0.0082483,           0.0082483
                  95,            0.040041,            0.032071,           0.0046764,             0.75801,             0.66166,             0.72281,             0.51076,            0.034834,            0.019875,           0.0025835,           0.0082136,           0.0082136,           0.0082136
                  96,            0.039921,            0.032013,           0.0046133,             0.75328,             0.66573,             0.72355,             0.51164,            0.034794,            0.019847,           0.0025728,           0.0081786,           0.0081786,           0.0081786
                  97,             0.03982,            0.032026,           0.0046387,             0.76088,             0.66154,             0.72438,             0.51256,            0.034752,            0.019821,           0.0025629,           0.0081433,           0.0081433,           0.0081433
                  98,            0.039911,             0.03216,           0.0046029,             0.76453,              0.6605,             0.72528,             0.51353,            0.034712,            0.019796,           0.0025534,           0.0081078,           0.0081078,           0.0081078
                  99,            0.039849,            0.032151,           0.0046085,               0.765,             0.66127,              0.7261,             0.51442,            0.034673,            0.019769,           0.0025429,           0.0080721,           0.0080721,           0.0080721
                 100,             0.03973,            0.031793,           0.0045986,             0.76618,             0.66184,             0.72714,             0.51532,            0.034635,            0.019743,           0.0025322,           0.0080362,           0.0080362,           0.0080362
                 101,             0.03969,            0.031901,           0.0045419,             0.76608,             0.66318,             0.72796,             0.51608,            0.034596,            0.019716,           0.0025219,               0.008,               0.008,               0.008
                 102,            0.039735,            0.031863,           0.0044796,             0.76771,             0.66334,             0.72896,             0.51691,            0.034556,            0.019687,           0.0025089,           0.0079636,           0.0079636,           0.0079636
                 103,            0.039675,            0.031877,           0.0045407,             0.76709,             0.66436,             0.72986,             0.51777,            0.034518,            0.019662,           0.0024976,            0.007927,            0.007927,            0.007927
                 104,            0.039691,            0.031877,           0.0045942,             0.77396,             0.66112,             0.73059,             0.51858,            0.034483,            0.019637,           0.0024872,           0.0078902,           0.0078902,           0.0078902
